Ref,Val,Package,PosX,PosY,Rot,Side
"C101","470n 50V","C_0805_2012Metric",53.448001,42.672000,0.000000,top
"C102","470n 50V","C_0805_2012Metric",63.542000,42.672000,0.000000,top
"C103","100n 250V","C_1206_3216Metric",77.819966,40.176034,-45.000000,top
"C104","100n 250V","C_1206_3216Metric",79.798000,35.355000,-90.000000,top
"C105","2u2 100V","C_1210_3225Metric",10.964000,27.686000,-90.000000,top
"C106","2u2 100V","C_1210_3225Metric",26.458000,27.686000,-90.000000,top
"C107","22u 100V","CP_Elec_8x10.5",18.542000,25.654000,-90.000000,top
"D101","LL4148","D_MiniMELF",35.348000,45.184000,-90.000000,top
"D102","LL4148","D_MiniMELF",45.000000,45.494000,-90.000000,top
"D103","LL4148","D_MiniMELF",35.348000,39.878000,-90.000000,top
"D104","LL4148","D_MiniMELF",45.000000,40.160000,-90.000000,top
"D105","3.3Vdc","WE-TVS_DFN1210-6L",30.917500,42.056000,-90.000000,top
"FID101","Fiducial_05_1","Fiducial_0.5mm_Mask1mm",7.874000,2.032000,0.000000,top
"FID102","Fiducial_05_1","Fiducial_0.5mm_Mask1mm",87.630000,10.414000,0.000000,top
"FID103","Fiducial_05_1","Fiducial_0.5mm_Mask1mm",79.756000,48.006000,0.000000,top
"FID104","Fiducial_05_1","Fiducial_0.5mm_Mask1mm",9.144000,47.752000,0.000000,top
"L101","1mH 0.2A","L_WE-LQS-5040",58.716000,44.851001,90.000000,top
"L102","1.1uH 15A","L_Wuerth_HCI-7050",35.084000,29.210000,0.000000,top
"L103","1.1uH 15A","L_Wuerth_HCI-7050",44.482000,29.210000,0.000000,top
"L104","1.1uH 15A","L_Wuerth_HCI-7050",53.880000,29.210000,0.000000,top
"L105","1.1uH 15A","L_Wuerth_HCI-7050",63.024000,29.210000,0.000000,top
"L106","1.1uH 15A","L_Wuerth_HCI-7050",72.168000,29.210000,0.000000,top
"R101","820R","R_0603_1608Metric",37.634000,44.196000,-90.000000,top
"R102","180R","R_0603_1608Metric",42.460000,44.196000,-90.000000,top
"R103","680R","R_0603_1608Metric",66.336000,44.196000,-90.000000,top
"R104","680R","R_0603_1608Metric",71.416000,44.196000,-90.000000,top
"R105","12R","R_0603_1608Metric",40.174000,42.672000,0.000000,top
"R106","27R","R_0603_1608Metric",48.048000,42.672000,0.000000,top
"R107","18R","R_0603_1608Metric",68.876000,42.672000,0.000000,top
"R108","910R","R_0603_1608Metric",37.634000,41.085000,-90.000000,top
"R109","270R","R_0603_1608Metric",42.460000,41.085000,-90.000000,top
"R110","220R","R_0603_1608Metric",50.588000,41.656000,-90.000000,top
"R111","510R","R_0603_1608Metric",66.336000,41.148000,-90.000000,top
"R112","680R","R_0603_1608Metric",71.416000,41.148000,-90.000000,top
"X101","Conn_Coaxial_Small","SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount",25.400000,47.661500,180.000000,top
"X102","SLB4,RED","SLB4_6x6mm",4.826000,33.020000,0.000000,top
"X103","SLB4,RED","SLB4_6x6mm",85.090000,33.020000,0.000000,top
"X104","SLB4,BLACK","SLB4_6x6mm",3.048000,17.018000,0.000000,top
"X105","SLB4,BLACK","SLB4_6x6mm",86.868000,17.018000,0.000000,top
