"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price SEK"
"1","25","HSE-B20500-040H-ND","HSE-B20500-040H","HEAT SINK, EXTRUSION, TO-220, 50","","25","0","10,70040","267,51"
"2","10","732-2040-ND","691351500002","TERM BLOCK PLUG 2POS 5.08MM","","10","0","9,40100","94,01"
"3","10","732-2070-ND","691313510002","TERM BLOCK HDR 2POS 90DEG 5.08MM","","10","0","3,22200","32,22"
"4","500","311-10.0KHRCT-ND","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","BT00002-30100","500","0","0,06364","31,82"
"5","100","311-510KHRCT-ND","RC0603FR-07510KL","RES 510K OHM 1% 1/10W 0603","BT00002-35100","100","0","0,09510","9,51"
"6","1000","311-200HRCT-ND","RC0603FR-07200RL","RES 200 OHM 1% 1/10W 0603","BT00002-02000","1000","0","0,05442","54,42"
"7","500","311-0.0HRCT-ND","RC0603FR-070RL","RES 0 OHM JUMPER 1/10W 0603","BT00002-00000","500","0","0,04584","22,92"
"8","500","311-43.0KHRCT-ND","RC0603FR-0743KL","RES 43K OHM 1% 1/10W 0603","BT00002-30430","500","0","0,06158","30,79"
"9","500","311-3.00KHRCT-ND","RC0603FR-073KL","RES 3K OHM 1% 1/10W 0603","BT00002-30030","500","0","0,06364","31,82"
"10","500","311-16.0KHRCT-ND","RC0603FR-0716KL","RES 16K OHM 1% 1/10W 0603","BT00002-30160","500","0","0,06364","31,82"
"11","500","311-2.20KHRCT-ND","RC0603FR-072K2L","RES 2.2K OHM 1% 1/10W 0603","BT00002-30022","500","0","0,06364","31,82"
"12","500","311-620HRCT-ND","RC0603FR-07620RL","RES 620 OHM 1% 1/10W 0603","BT00002-06200","500","0","0,06364","31,82"
"13","1000","311-49.9HRCT-ND","RC0603FR-0749R9L","RES 49.9 OHM 1% 1/10W 0603","BT00002-00499","1000","0","0,05442","54,42"
"14","16","264-TLP241BP(D4TP1E(OCT-ND","TLP241BP(D4TP1,E(O","PHOTORELAY; OVP; OTP; VDE, SURFA","BT11001-00001","16","0","21,58500","345,36"
"15","2","MCP2515-E/ML-ND","MCP2515-E/ML","IC CAN CTLR SPI 2ND GEN 20QFN","BT02006-00001","2","0","31,61000","63,22"
"16","25","ATA6561-GAQW-NCT-ND","ATA6561-GAQW-N","IC TRANSCEIVER 1/1 8SO","BT02007-00001","25","0","4,09200","102,30"
"17","25","296-TPS62A01DRLRCT-ND","TPS62A01DRLR","IC REG BUCK ADJ 1A SOT563","BT03005-00001","25","0","1,05160","26,29"
"18","25","MCP23S17T-E/MLCT-ND","MCP23S17T-E/ML","IC XPNDR 10MHZ SPI 28QFN","BT02009-00001","25","0","17,28880","432,22"
"19","10","114-SG3225CAN25.0000M-TJGA6CT-ND","SG3225CAN 25.0000M-TJGA6","XTAL OSC XO 25.0000MHZ CMOS SMD","BT05001-25601","10","0","6,89500","68,95"
"20","10","296-LMR51610YFDBVRCT-ND","LMR51610YFDBVR","SIMPLE SWITCHER POWER CONVERTER","BT03009-00001","10","0","10,54700","105,47"
"21","5","PIC18F67J60T-I/PTCT-ND","PIC18F67J60T-I/PT","IC MCU 8BIT 128KB FLASH 64TQFP","BT01004-00001","5","0","71,00000","355,00"
"22","10","93AA46BT-I/OTCT-ND","93AA46BT-I/OT","IC EEPROM 1KBIT MIC WIRE SOT23-6","BT07001-00001","10","0","2,76000","27,60"
"23","25","1276-6886-1-ND","CIGT201208EH1R0MNE","FIXED IND 1UH 3.1A 55 MOHM SMD","BT00200-00001","25","0","2,17280","54,32"
"24","10","118-SRR1208-330YLCT-ND","SRR1208-330YL","FIXED IND 33UH 2.8A 62 MOHM SMD","BT00201-33028","10","0","6,65000","66,50"
"25","2000","311-1341-1-ND","CC0603KRX7R8BB104","CAP CER 0.1UF 25V X7R 0603","BT00008-091000","2000","0","0,11192","223,84"
"26","100","490-13248-1-ND","GRM188R6YA106MA73D","CAP CER 10UF 35V X5R 0603","BT00014-060100","100","0","1,10180","110,18"
"27","100","732-8449-1-ND","865080640004","CAP ALUM 4.7UF 20% 50V SMD","","100","0","1,38110","138,11"
"28","100","1727-PESD2USB3UXT-QRCT-ND","PESD2USB3UXT-QR","AUTOMOTIVE HIGH SPEED IVN","BT09002-00001","100","0","1,37080","137,08"
"29","500","490-4781-1-ND","GCM188R72A103KA37D","CAP CER 10000PF 100V X7R 0603","BT00013-090100","500","0","0,12788","63,94"
"30","100","455-B2B-XH-A-ND","B2B-XH-A","CONN HEADER VERT 2POS 2.5MM","BT10003-00002","100","0","0,84090","84,09"
"31","100","455-2248-ND","B3B-XH-A","CONN HEADER VERT 3POS 2.5MM","BT10003-00003","100","0","1,09970","109,97"
"32","25","478-SD0805S040S1R0CT-ND","SD0805S040S1R0","DIODE SCHOTTKY 40V 1A 0805","BT00016-00001","25","0","1,84960","46,24"
"33","200","3147-B1931URO-20D000114U1930CT-ND","B1931URO-20D000114U1930","LED RED DIFFUSED 0603 SMD","BT13001-00001","200","0","0,48400","96,80"
